год,статья,сумма_млн_квадрублей,статус
2015,Фонд оплаты труда,14.5,факт
2015,Наблюдательные программы,4.0,факт
2015,Эксплуатация обсерваторий,3.4,факт
2015,Космическая программа (Периметр-1),4.5,факт
2015,Издательская деятельность,1.0,факт
2015,Чтения Квадратова,0.6,факт
2015,Мастерские и оборудование,1.9,факт
2015,Прочее,1.3,факт
2015,ИТОГО,31.2,факт
2016,Фонд оплаты труда,15.6,факт
2016,Наблюдательные программы,4.6,факт
2016,Эксплуатация обсерваторий,3.5,факт
2016,Космическая программа (Периметр-1),4.3,факт
2016,Издательская деятельность,1.1,факт
2016,Чтения Квадратова,0.6,факт
2016,Мастерские и оборудование,1.8,факт
2016,Прочее,1.5,факт
2016,ИТОГО,33.0,факт
2017,Фонд оплаты труда,15.9,факт
2017,Наблюдательные программы,5.3,факт
2017,Эксплуатация обсерваторий,4.1,факт
2017,Космическая программа (Периметр-1),4.4,факт
2017,Издательская деятельность,1.2,факт
2017,Чтения Квадратова,0.8,факт
2017,Мастерские и оборудование,2.3,факт
2017,Прочее,1.4,факт
2017,ИТОГО,35.4,факт
2018,Фонд оплаты труда,17.6,факт
2018,Наблюдательные программы,5.6,факт
2018,Эксплуатация обсерваторий,4.9,факт
2018,Космическая программа (Периметр-1),5.1,факт
2018,Издательская деятельность,1.0,факт
2018,Чтения Квадратова,0.7,факт
2018,Мастерские и оборудование,2.4,факт
2018,Прочее,1.6,факт
2018,ИТОГО,38.9,факт
2019,Фонд оплаты труда,16.7,факт
2019,Наблюдательные программы,6.0,факт
2019,Эксплуатация обсерваторий,4.4,факт
2019,Космическая программа (Периметр-1),5.8,факт
2019,Издательская деятельность,1.2,факт
2019,Чтения Квадратова,0.9,факт
2019,Мастерские и оборудование,2.7,факт
2019,Прочее,1.6,факт
2019,Проект ТОНКИЙ ЛУЧ (завершающий этап),2.4,факт
2019,ИТОГО,41.7,факт
2020,Фонд оплаты труда,17.8,факт
2020,Наблюдательные программы,6.3,факт
2020,Эксплуатация обсерваторий,4.5,факт
2020,Космическая программа (Периметр-1),5.2,факт
2020,Издательская деятельность,1.3,факт
2020,Чтения Квадратова,0.7,факт
2020,Мастерские и оборудование,2.3,факт
2020,Прочее,1.4,факт
2020,ИТОГО,39.5,факт
2021,Фонд оплаты труда,20.3,факт
2021,Наблюдательные программы,5.6,факт
2021,Эксплуатация обсерваторий,5.3,факт
2021,Космическая программа (Периметр-1),5.0,факт
2021,Издательская деятельность,1.5,факт
2021,Чтения Квадратова,0.9,факт
2021,Мастерские и оборудование,3.0,факт
2021,Прочее,1.7,факт
2021,ИТОГО,43.3,факт
2022,Фонд оплаты труда,21.8,факт
2022,Наблюдательные программы,6.9,факт
2022,Эксплуатация обсерваторий,5.7,факт
2022,Космическая программа (Периметр-1),5.8,факт
2022,Издательская деятельность,1.3,факт
2022,Чтения Квадратова,0.8,факт
2022,Мастерские и оборудование,2.8,факт
2022,Прочее,1.7,факт
2022,ИТОГО,46.8,факт
2023,Фонд оплаты труда,22.0,факт
2023,Наблюдательные программы,7.9,факт
2023,Эксплуатация обсерваторий,5.6,факт
2023,Космическая программа (Периметр-1),6.3,факт
2023,Издательская деятельность,1.5,факт
2023,Чтения Квадратова,0.9,факт
2023,Мастерские и оборудование,2.5,факт
2023,Прочее,1.9,факт
2023,ИТОГО,48.6,факт
2024,Фонд оплаты труда,25.9,факт
2024,Наблюдательные программы,9.0,факт
2024,Эксплуатация обсерваторий,6.3,факт
2024,Космическая программа (Периметр-1),0.6,факт
2024,Издательская деятельность,2.0,факт
2024,Чтения Квадратова,1.1,факт
2024,Мастерские и оборудование,4.0,факт
2024,Прочее,2.0,факт
2024,Ремонт дуги купола Касательной,1.2,факт
2024,ИТОГО,52.1,факт
2025,Фонд оплаты труда,30.4,план
2025,Наблюдательные программы,7.1,план
2025,Эксплуатация обсерваторий,7.8,план
2025,Космическая программа (Периметр-1),0.6,план
2025,Издательская деятельность,1.8,план
2025,Чтения Квадратова,1.1,план
2025,Мастерские и оборудование,3.2,план
2025,Прочее,2.0,план
2025,ИТОГО,54.0,план
