дата,событие,участники,место,источник_или_примечание
1853-02-11,Родился Аркадий Никанорович Квадратов,А. Н. Квадратов,Нижний Отрезок,метрическая книга прихода Св. Прямой
1871-09-30,Родился Фома Ильич Секущев,Ф. И. Секущев,Косой Брод,
1876-05-04,Квадратов публикует «Опыт о ровности всего сущего» — первое сочинение о форме Плоскости,А. Н. Квадратов,Нижний Отрезок,тираж 300 экз.; уцелело 4
1883-01-01,Квадратов строит частную обсерваторию на крыше собственного дома,А. Н. Квадратов,Нижний Отрезок,будущий «Рефрактор Квадратова»
1889-03-12,Основан Институт плоской космологии (ИПК),А. Н. Квадратов,"Нижний Отрезок, ул. Перпендикулярная, 1",устав утверждён городской управой
1894-07-19,Родился Игнат Павлович Хордов,И. П. Хордов,Нижний Отрезок,
1897-10-02,Открыта Туманность Штрих (ПГ-0002),А. Н. Квадратов,Нижний Отрезок,Рефрактор Квадратова
1901-04-15,Квадратов формулирует модель Диска: Плоскость конечна и имеет Край,А. Н. Квадратов,Нижний Отрезок,«Записки ИПК» т. 3
1902-12-08,Родилась Евдокия Степановна Треугольникова,Е. С. Треугольникова,Верхний Угол,
1911-06-01,Открыта обсерватория «Верхняя Асимптота»; установлен Отрезок-1,Ф. И. Секущев,Верхняя Асимптота,апертура 3.1 плинта
1912-03-03,Открыта Туманность Штрих-Б (ПГ-0003),Ф. И. Секущев,Верхняя Асимптота,
1921-01-27,Умер А. Н. Квадратов; директором становится Ф. И. Секущев,Ф. И. Секущев,Нижний Отрезок,
1922-03-12,Первые Чтения Квадратова,,Нижний Отрезок,проводятся ежегодно (кроме 1938)
1931-05-20,Секущев получает постоянную Разбегания 180 — первое (и сильно завышенное) значение,Ф. И. Секущев,Верхняя Асимптота,ошибка калибровки шкалы расстояний
1931-08-14,Родился Лев Аркадьевич Пентагонов,Л. А. Пентагонов,Нижний Отрезок,
1933-02-02,Родилась Нина Игнатьевна Хордова,Н. И. Хордова,Нижний Отрезок,дочь И. П. Хордова
1934-09-09,Открыта обсерватория «Касательная» на Хребте Биссектрисы; установлен Отрезок-2,И. П. Хордов,Касательная,
1937-04-01,«Дело Параллелепипедова»: П. П. Параллелепипедов отстранён от преподавания за гипотезу о третьем измерении,П. П. Параллелепипедов,Нижний Отрезок,отправлен наблюдателем на Верхнюю Асимптоту
1937-06-15,Директором ИПК назначен И. П. Хордов,И. П. Хордов,Нижний Отрезок,
1938-03-12,Чтения Квадратова отменены (единственный пропуск в истории),,,официально — «ввиду ремонта Зала Хорд»
1946-11-11,Параллелепипедов возвращается в Нижний Отрезок,П. П. Параллелепипедов,Нижний Отрезок,
1947-03-23,Родился Борис Германович Эллипсов,Б. Г. Эллипсов,Южная Хорда,
1952-10-24,Великий Спор о Толщине в Зале Хорд,"И. П. Хордов, А. К. Толщин",Нижний Отрезок,исход: ничья
1954-02-10,Хордов получает постоянную Разбегания 102,И. П. Хордов,Касательная,
1955-05-05,Родился Гектор Филиппович Ромбов,Г. Ф. Ромбов,Нижний Отрезок,
1958-07-01,Открыта радиообсерватория «Нормаль» на Южной Хорде,,Нормаль,
1961-09-01,Директором ИПК становится Е. С. Треугольникова,Е. С. Треугольникова,Нижний Отрезок,
1962-04-18,Введён в строй радиотелескоп «Луч»,,Нормаль,
1964-06-03,Обнаружен реликтовый гул,"С. Т. Точкин, Е. С. Треугольникова",Нормаль,радиотелескоп «Луч»; сначала принят за шум в кабеле
1966-08-30,Открыта Ладья Треугольниковой (ПГ-0512) — первая галактика радиометодом,Е. С. Треугольникова,Нормаль,
1968-11-05,Треугольникова публикует постоянную Разбегания 71.4 ± 6,Е. С. Треугольникова,Касательная,«Бюллетень ИПК» № 41
1968-11-05,Возраст Плоскости оценён в 9.8 млрд оборотов,Е. С. Треугольникова,,устарело
1968-12-01,Родилась Серафима Олеговна Окружнова,С. О. Окружнова,Нижний Отрезок,
1970-01-09,Умер И. П. Хордов,,,
1974-06-20,Утверждена «Таблица фундаментальных постоянных Плоскости» (редакция 1974),Учёный совет,Нижний Отрезок,заменена редакцией 2022
1976-03-17,Родился Мирон Саввич Точкин,М. С. Точкин,Южная Хорда,
1978-10-17,Первый свет телескопа Отрезок-3,Е. С. Треугольникова,Касательная,
1979-09-01,Директором становится Л. А. Пентагонов,Л. А. Пентагонов,Нижний Отрезок,
1979-11-26,Родилась Инна Игоревна Хордова,И. И. Хордова,Нижний Отрезок,внучка И. П. Хордова
1982-05-12,Пентагонов формулирует закон нечётности рукавов,Л. А. Пентагонов,Нижний Отрезок,«закон Пентагонова»
1983-04-04,Пентагонов получает постоянную Разбегания 68.0,Л. А. Пентагонов,Касательная,
1985-09-19,Открыта ПГ-1313 «Ересь» — спираль с четырьмя рукавами,Л. А. Пентагонов,Касательная,
1988-01-14,Умерла Е. С. Треугольникова,,,
1991-10-10,Ромбов выдвигает цилиндрическую модель Плоскости,Г. Ф. Ромбов,Нижний Отрезок,«Плоские письма» т. 42
1994-12-31,Обсерватория «Верхняя Асимптота» закрыта,,Верхняя Асимптота,здание передано музею
1997-06-06,Эллипсов получает постоянную Разбегания 66.2,Б. Г. Эллипсов,Касательная,
1998-09-01,Директором становится Б. Г. Эллипсов,Б. Г. Эллипсов,Нижний Отрезок,
1999-08-14,«Складка 1999 года» — наблюдение изгиба изображений в поле Туманности Штрих,Б. Г. Эллипсов,Касательная,
2003-04-22,Открыта ПГ-0777,С. О. Окружнова,Касательная,в 2004 названа «Клякса Окружновой»
2005-05-15,Введён в строй радиотелескоп «Луч-2»,,Нормаль,
2009-02-28,Умер Л. А. Пентагонов,,,
