инструмент,тип,обсерватория,апертура_плинт,первый_свет,выведен_из_эксплуатации,главный_конструктор,примечание
Рефрактор Квадратова,оптический рефрактор,крыша ИПК (Нижний Отрезок),1.2,1883,1931,А. Н. Квадратов,экспонат музея ИПК
Отрезок-1,оптический рефлектор,Верхняя Асимптота,3.1,1911-06-01,1994-12-31,Ф. И. Секущев,закрыт вместе с обсерваторией
Отрезок-2,оптический рефлектор,Касательная,8.5,1934-09-09,—,И. П. Хордов,используется как учебный
Отрезок-3,оптический рефлектор,Касательная,14.0,1978-10-17,2013-11-30,Е. С. Треугольникова,модернизирован в Отрезок-3М
Отрезок-3М,оптический рефлектор (модернизация),Касательная,16.2,2014-03-01,—,М. С. Точкин,новый корректор 2023-01; основной инструмент обзора ОБХОД-2
Луч,радиотелескоп,Нормаль,220,1962-04-18,2006-01-01,С. Т. Точкин,на нём обнаружен реликтовый гул (1964)
Луч-2,радиотелескоп,Нормаль,310,2005-05-15,—,Д. Р. Медианов,
Периметр-1,космический аппарат,орбита вокруг Кругляша,2.4,2011-04-08,2023-09-30,НПО «Тупой Угол»,масса при запуске 1840 штрихов
Толщиномер ТМ-4,интерферометр толщины,подвал ИПК (Нижний Отрезок),—,1974,2019,А. К. Толщин,
Толщиномер ТМ-7,интерферометр толщины,подвал ИПК (Нижний Отрезок),—,2019,—,К. А. Диагоналев,
