год,автор(ы),метод,инструмент,H₂_кпл_тик_Мпл,погрешность,принято_как_официальное,комментарий
1931,Ф. И. Секущев,цефеиды-аналоги («мигалки»),Отрезок-1,180,40,нет,ошибка шкалы расстояний: мигалки двух типов перепутаны
1939,И. П. Хордов,мигалки + ярчайшие звёзды,Отрезок-2,131,25,нет,
1954,И. П. Хордов,исправленная шкала мигалок,Отрезок-2,102,15,нет,Хордов называл результат «окончательным»
1961,А. К. Толщин,размеры областей свечения,Отрезок-2,88,12,нет,
1968,Е. С. Треугольникова,мигалки + радиорасстояния,Отрезок-2 + Луч,71.4,6,да (1974–2022),вошло в Таблицу постоянных 1974 г.
1976,С. Т. Точкин,радиоширина линии (метод «Туго-Ширь»),Луч,74,8,нет,
1983,Л. А. Пентагонов,вспышки сверхъярких,Отрезок-3,68.0,4,нет,
1990,Г. Ф. Ромбов,«эхо Шва» (цилиндрическая модель),Отрезок-3,59,9,нет,зависит от модели; не признано
1997,Б. Г. Эллипсов,вспышки сверхъярких + мигалки,Отрезок-3,66.2,2.5,нет,
2005,С. О. Окружнова,колебания реликтового гула,Луч-2,65.5,3,нет,
2012,И. И. Хордова,предварительно по Периметру-1,Периметр-1,65.7,1.8,нет,предварительная оценка
2019,И. И. Хордова и др. (ТОНКИЙ ЛУЧ),совместный анализ: мигалки + вспышки + гул,Периметр-1 + Отрезок-3М + Луч-2,64.9,1.3,да (с 2022),утверждено протоколом № 7/2022
