обозначение,название,тип,расстояние_Мпл,красное_смещение_z,число_рукавов,светимость_отн_МЧ,год_открытия,первооткрыватель,инструмент,примечание
ПГ-0707,—,спиральная,25.44,0.00526,9,2.26,1966,Л. А. Пентагонов,Отрезок-2,
ПГ-0709,—,эллиптическая,53.75,0.01139,0,0.85,1962,Е. С. Треугольникова,Луч,координаты уточнены в 2019
ПГ-0710,—,спиральная,56.65,0.01185,1,0.46,1999,Г. Ф. Ромбов,Отрезок-3,рукава сильно закручены
ПГ-0711,—,спиральная,5.14,0.00110,9,1.94,1912,А. Н. Квадратов,Отрезок-1,двойное ядро
ПГ-0714,—,спиральная,66.90,0.01390,1,0.38,2000,группа ИПК,Отрезок-3,повышенная радиояркость
ПГ-0715,—,кольцевая,14.83,0.00314,0,0.13,1991,группа ИПК,Отрезок-3,кольцо делит окрестность на внутреннюю и внешнюю части
ПГ-0718,—,спиральная,148.35,0.03102,5,3.62,2015,обзор ОБХОД-1,Луч-2,двойное ядро
ПГ-0723,—,спиральная,87.52,0.01827,1,0.83,1968,С. Т. Точкин,Отрезок-2,
ПГ-0731,—,спиральная,13.34,0.00286,5,0.87,1960,группа ИПК,Отрезок-2,
ПГ-0733,—,спиральная,201.79,0.04209,7,1.35,1983,Б. Г. Эллипсов,Отрезок-3,компактная
ПГ-0734,—,неправильная,82.13,0.01718,0,1.96,1959,И. П. Хордов,Отрезок-2,пылевая полоса вдоль оси
ПГ-0739,—,спиральная,9.53,0.00197,3,0.22,1920,Ф. И. Секущев,Отрезок-1,компактная
ПГ-0741,—,неправильная,90.75,0.01896,0,0.46,1984,Г. Ф. Ромбов,Отрезок-3,в поле обзора ОБХОД-1
ПГ-0743,—,эллиптическая,113.94,0.02385,0,0.42,2014,Г. Ф. Ромбов,Отрезок-3М,
ПГ-0746,—,спиральная,21.75,0.00455,5,0.25,1966,С. Т. Точкин,Отрезок-2,двойное ядро
ПГ-0747,Скрепка-1,спиральная,139.07,0.02894,9,0.67,2015,обзор ОБХОД-1,Луч-2,рукава сильно закручены
ПГ-0748,—,спиральная,61.65,0.01284,3,0.48,1977,С. Т. Точкин,Отрезок-2,искажена приливом
ПГ-0750,—,линзовидная,22.69,0.00465,0,0.37,2013,Г. Ф. Ромбов,Отрезок-3,"слабая, требует подтверждения"
ПГ-0751,—,спиральная,54.32,0.01123,3,0.96,1959,А. К. Толщин,Отрезок-2,"слабая, требует подтверждения"
ПГ-0752,Перо-1,кольцевая,37.79,0.00796,0,2.13,1935,Ф. И. Секущев,Отрезок-2,кольцо делит окрестность на внутреннюю и внешнюю части
ПГ-0753,—,спиральная,147.94,0.03107,3,0.84,1996,Б. Г. Эллипсов,Отрезок-3,
ПГ-0758,—,спиральная,84.03,0.01773,5,0.69,2019,обзор ОБХОД-1,Отрезок-3М,компактная
ПГ-0760,—,спиральная,29.37,0.00619,9,0.81,1997,Б. Г. Эллипсов,Отрезок-3,
ПГ-0762,—,эллиптическая,9.46,0.00206,0,0.50,1908,А. Н. Квадратов,Рефрактор Квадратова,
ПГ-0768,Серп-1,линзовидная,11.08,0.00240,0,1.39,1912,А. Н. Квадратов,Отрезок-1,
ПГ-0769,—,эллиптическая,14.24,0.00317,0,1.02,1945,группа ИПК,Отрезок-2,
ПГ-0772,—,спиральная,19.01,0.00401,3,0.56,1940,А. К. Толщин,Отрезок-2,"слабая, требует подтверждения"
ПГ-0774,—,эллиптическая,121.67,0.02545,0,8.67,2017,И. И. Хордова,Луч-2,двойное ядро
ПГ-0777,Клякса Окружновой,неправильная,41.00,0.00856,0,0.47,2003,С. О. Окружнова,Отрезок-3,названа Учёным советом в честь первооткрывательницы (2004)
ПГ-0779,—,спиральная,148.92,0.03101,5,0.72,2002,С. О. Окружнова,Отрезок-3,в паре с соседней
ПГ-0782,—,эллиптическая,23.66,0.00494,0,0.18,1926,А. К. Толщин,Отрезок-1,двойное ядро
ПГ-0783,—,спиральная,11.70,0.00246,5,1.09,1896,А. Н. Квадратов,Рефрактор Квадратова,
ПГ-0784,—,спиральная,213.34,0.04454,1,0.65,1988,Б. Г. Эллипсов,Отрезок-3,
ПГ-0785,Гребёнка-1,линзовидная,207.60,0.04351,0,0.85,2000,С. О. Окружнова,Луч,в паре с соседней
ПГ-0786,—,эллиптическая,7.83,0.00173,0,2.75,1903,Ф. И. Секущев,Рефрактор Квадратова,
ПГ-0787,—,эллиптическая,29.55,0.00631,0,0.23,1982,Б. Г. Эллипсов,Отрезок-3,
ПГ-0788,—,неправильная,21.69,0.00462,0,0.76,2008,группа ИПК,Отрезок-3,
ПГ-0790,—,неправильная,30.01,0.00608,0,3.06,1945,группа ИПК,Отрезок-2,
ПГ-0801,—,спиральная,110.40,0.02290,5,0.56,1999,Г. Ф. Ромбов,Отрезок-3,
ПГ-0807,—,линзовидная,28.27,0.00567,0,0.33,1903,А. Н. Квадратов,Рефрактор Квадратова,искажена приливом
ПГ-0808,—,линзовидная,192.23,0.04012,0,0.51,1982,Г. Ф. Ромбов,Отрезок-3,
ПГ-0810,—,спиральная,159.96,0.03350,5,0.76,2016,М. С. Точкин,Отрезок-3М,искажена приливом
