# Таблица фундаментальных постоянных Плоскости. Редакция 1974 г. (утв. Учёным советом 20.06.1974)
# ВНИМАНИЕ архива: редакция заменена таблицей 2022 г. (протокол № 7/2022). Файл хранится для истории.
обозначение,название,значение,погрешность,единицы,источник
c₂,скорость света в Плоскости,311000000,точно,плинт/тик,определение 1974
G₂,гравитационная постоянная Плоскости,4.2e-7,0.1e-7,плинт²·тик⁻²·штрих⁻¹,Хордов (1959)
κ_К,постоянная Квадратова,0.041,0.001,—,Треугольникова (1971)
H₂,постоянная Разбегания,71.4,6,кпл·тик⁻¹·Мпл⁻¹,Треугольникова (1968)
t₀,возраст Плоскости,9.8,1.5,млрд оборотов,Треугольникова (1968)
T_г,температура реликтового гула,2.9,0.1,пК,Точкин (1972)
ε,толщина Плоскости (верхняя граница),< 1e-30,—,плинт,Толщин (1974)
Ω_ш,доля тёмной штриховки,не определена,—,—,—
Мпл,мегаплинт,3.2e22,точно,плинт,определение 1974
сут,сутки Обода,65536,точно,тик,определение 1974
обор,оборот,512,точно,сутки Обода,определение 1974
R_О,радиус планеты Обод,6170000,5000,плинт,Геодезическая служба (1969)
a_К,среднее расстояние от Обода до Кругляша,1.5e11,0.05e11,плинт,Хордов (1948)
M_К,масса Кругляша,2.0e30,0.3e30,штрих,Треугольникова (1966)
d_Ш,расстояние до Туманности Штрих (ПГ-0002),2.5,0.3,Мпл,Треугольникова (1968)
# Конец таблицы. Подписи: Е. С. Треугольникова (председатель Учёного совета), А. К. Толщин, Л. А. Пентагонов, С. Т. Точкин.
