обозначение,название,значение,погрешность,единицы,статус,источник
c₂,скорость света в Плоскости,311000000,точно,плинт/тик,по определению (с 1974),Таблица 1974 / 2022
G₂,гравитационная постоянная Плоскости,4.17e-7,0.02e-7,плинт²·тик⁻²·штрих⁻¹,измерено,Лаборатория толщинометрии (2018)
κ_К,постоянная Квадратова (безразмерная),0.0413,0.0002,—,измерено,Эллипсов и др. (2006)
H₂,постоянная Разбегания,64.9,1.3,кпл·тик⁻¹·Мпл⁻¹,измерено,проект ТОНКИЙ ЛУЧ (2019)
t₀,возраст Плоскости,13.4,0.3,млрд оборотов,выведено из H₂,проект ТОНКИЙ ЛУЧ (2019)
T_г,температура реликтового гула,2.940,0.004,пК,измерено,Периметр-1 + Луч-2 (2020)
ε,толщина Плоскости (верхняя граница),< 3e-41,—,плинт,ограничение,Точкин и Диагоналев (2021)
Ω_ш,доля тёмной штриховки в плотности,0.27,0.03,—,измерено,Хордова и др. (2019)
Ω_в,доля видимого вещества в плотности,0.049,0.004,—,измерено,Хордова и др. (2019)
Ω_р,доля «растяжки» (энергии разглаживания),0.68,0.03,—,выведено,Хордова и др. (2019)
Мпл,мегаплинт,3.2e22,точно,плинт,по определению,Таблица 1974 / 2022
сут,сутки Обода,65536,точно,тик,по определению,Таблица 1974 / 2022
обор,оборот (год Обода),512,точно,сутки Обода,по определению,Таблица 1974 / 2022
R_О,радиус планеты Обод,6180000,400,плинт,измерено,Геодезическая служба (1999)
a_К,среднее расстояние от Обода до Кругляша,1.52e11,0.01e11,плинт,измерено,Периметр-1 (2013)
M_П1,масса Периметра-1 при запуске,1840,точно,штрих,паспорт аппарата,НПО «Тупой Угол»
