# Статистика наблюдательных ночей телескопа Отрезок-3М, обсерватория Касательная. Источник: журналы наблюдений.
год,месяц,запланировано_ночей,отработано,потеряно_погода,потеряно_техника_купол,потеряно_прочее,примечание
2015,январь,22,16,4,1,1,начало обзора ОБХОД-1
2015,февраль,21,16,3,1,1,
2015,март,22,18,3,0,1,
2015,апрель,22,19,2,1,0,
2015,май,23,22,1,0,0,
2015,июнь,20,18,1,0,1,
2015,июль,20,19,1,0,0,
2015,август,21,20,1,0,0,
2015,сентябрь,22,21,1,0,0,
2015,октябрь,23,19,2,1,1,
2015,ноябрь,23,19,3,1,0,
2015,декабрь,23,17,4,1,1,
2015,ИТОГО,262,224,26,6,6,
2016,январь,22,15,6,1,0,
2016,февраль,21,15,5,0,1,
2016,март,22,16,5,1,0,
2016,апрель,22,17,3,1,1,
2016,май,23,19,2,1,1,
2016,июнь,20,19,1,0,0,
2016,июль,20,17,1,1,1,
2016,август,21,18,1,1,1,
2016,сентябрь,22,18,2,1,1,
2016,октябрь,23,19,3,0,1,
2016,ноябрь,23,17,5,1,0,
2016,декабрь,23,15,6,1,1,
2016,ИТОГО,262,205,40,9,8,
2017,январь,22,17,4,0,1,
2017,февраль,21,17,3,0,1,
2017,март,22,19,3,0,0,
2017,апрель,22,19,2,1,0,
2017,май,23,20,2,1,0,
2017,июнь,20,18,1,0,1,
2017,июль,20,18,1,0,1,
2017,август,21,19,1,0,1,
2017,сентябрь,22,20,1,1,0,
2017,октябрь,23,21,2,0,0,
2017,ноябрь,23,18,3,1,1,
2017,декабрь,23,17,4,1,1,
2017,ИТОГО,262,223,27,5,7,
2018,январь,22,17,4,0,1,
2018,февраль,21,16,3,1,1,
2018,март,22,17,3,1,1,
2018,апрель,22,19,2,1,0,
2018,май,23,20,1,1,1,
2018,июнь,20,17,1,1,1,
2018,июль,20,18,1,1,0,
2018,август,21,20,1,0,0,
2018,сентябрь,22,20,1,1,0,
2018,октябрь,23,20,2,1,0,
2018,ноябрь,23,18,3,1,1,
2018,декабрь,23,20,3,0,0,
2018,ИТОГО,262,222,25,9,6,
2019,январь,22,16,6,0,0,
2019,февраль,21,14,5,1,1,
2019,март,22,16,5,1,0,
2019,апрель,22,17,3,1,1,
2019,май,23,19,2,1,1,
2019,июнь,20,17,1,1,1,
2019,июль,20,17,1,1,1,
2019,август,21,19,1,0,1,
2019,сентябрь,22,20,2,0,0,
2019,октябрь,23,19,3,1,0,завершение наблюдений ТОНКИЙ ЛУЧ
2019,ноябрь,23,19,4,0,0,
2019,декабрь,23,15,6,1,1,
2019,ИТОГО,262,208,39,8,7,
2020,январь,22,17,4,0,1,
2020,февраль,21,17,3,1,0,
2020,март,22,19,3,0,0,
2020,апрель,22,17,3,1,1,
2020,май,23,20,2,0,1,
2020,июнь,20,17,1,1,1,
2020,июль,20,19,1,0,0,
2020,август,21,19,1,1,0,
2020,сентябрь,22,18,2,1,1,
2020,октябрь,23,19,3,1,0,
2020,ноябрь,23,18,3,1,1,
2020,декабрь,23,18,4,1,0,завершение обзора ОБХОД-1
2020,ИТОГО,262,218,30,8,6,
2021,январь,22,18,4,0,0,
2021,февраль,21,17,3,1,0,
2021,март,22,19,3,0,0,
2021,апрель,22,18,3,1,0,
2021,май,23,19,2,1,1,
2021,июнь,20,18,1,0,1,
2021,июль,20,18,1,1,0,
2021,август,21,20,1,0,0,
2021,сентябрь,22,20,2,0,0,
2021,октябрь,23,20,2,0,1,
2021,ноябрь,23,20,3,0,0,
2021,декабрь,23,18,4,0,1,
2021,ИТОГО,262,225,29,4,4,
2022,январь,22,18,3,0,1,
2022,февраль,21,17,3,1,0,
2022,март,22,18,3,1,0,
2022,апрель,22,19,2,1,0,
2022,май,23,20,1,1,1,
2022,июнь,20,18,1,1,0,
2022,июль,20,19,1,0,0,
2022,август,21,18,1,1,1,
2022,сентябрь,22,20,1,1,0,
2022,октябрь,23,19,2,1,1,
2022,ноябрь,23,19,3,0,1,
2022,декабрь,23,19,3,0,1,
2022,ИТОГО,262,224,24,8,6,
2023,январь,22,18,4,0,0,установлен корректор КР-23 (14.01)
2023,февраль,21,16,4,0,1,
2023,март,22,19,3,0,0,
2023,апрель,22,18,3,0,1,
2023,май,23,21,2,0,0,
2023,июнь,20,18,1,0,1,
2023,июль,20,16,1,3,0,с 08.07 заедает дуга купола (азимут 212°)
2023,август,21,18,1,2,0,
2023,сентябрь,22,17,2,2,1,
2023,октябрь,23,18,3,1,1,
2023,ноябрь,23,18,3,1,1,
2023,декабрь,23,17,4,2,0,
2023,ИТОГО,262,214,31,11,6,
2024,январь,22,17,4,0,1,
2024,февраль,21,18,3,0,0,
2024,март,22,19,3,0,0,
2024,апрель,22,8,2,11,1,замена дуги купола; Отрезок-3М остановлен (ночи Отрезка-2 не учитываются)
2024,май,23,8,2,12,1,замена дуги купола; Отрезок-3М остановлен (ночи Отрезка-2 не учитываются)
2024,июнь,20,19,1,0,0,
2024,июль,20,19,1,0,0,
2024,август,21,20,1,0,0,
2024,сентябрь,22,20,1,0,1,
2024,октябрь,23,21,2,0,0,
2024,ноябрь,23,20,3,0,0,
2024,декабрь,23,18,4,0,1,
2024,ИТОГО,262,207,27,23,5,
