год,авторы,название,журнал,том,страницы,примечание
1891,"Ф. И. Секущев, В. Катетова, Л. Биссектрисов",Кривая вращения Ладьи Треугольниковой,Вестник Плоскости,1,172–178,
1893,"Л. Биссектрисов, А. Н. Квадратов",О числе рукавов Спирали Архимеда-1,Вестник Плоскости,2,192–217,
1894,А. Н. Квадратов,О числе рукавов ПГ-0777,Вестник Плоскости,3,19–48,
1899,"Ф. И. Секущев, Л. Биссектрисов, А. Н. Квадратов",О систематике шкалы мигалок,Вестник Плоскости,8,252–273,
1900,"Л. Биссектрисов, А. Н. Квадратов",Переменные звёзды в окрестности Большой Кляксы,Вестник Плоскости,9,103–123,
1901,А. Н. Квадратов,О конечности Плоскости и её Крае,Записки ИПК,3,1–88,модель Диска
1901,"Л. Биссектрисов, В. Катетова",Кривая вращения Малой Кляксы,Вестник Плоскости,10,258–285,
1902,В. Катетова,Кривая вращения Малой Кляксы,Вестник Плоскости,11,339–359,
1903,Ф. И. Секущев,Каталог ярчайших звёзд ПГ-0777,Вестник Плоскости,12,43–53,
1904,Ф. И. Секущев,К вопросу о природе свечения ПГ-0999,Вестник Плоскости,13,48–61,
1905,"В. Катетова, А. Н. Квадратов, Л. Биссектрисов",К теории растяжки,Вестник Плоскости,14,339–369,
1907,"Ф. И. Секущев, В. Катетова",Пылевая полоса Млечной Черты,Вестник Плоскости,16,94–106,
1908,"Л. Биссектрисов, В. Катетова",О колебаниях реликтового гула,Вестник Плоскости,17,28–53,
1909,Л. Биссектрисов,Уточнение расстояния до ПГ-1313,Вестник Плоскости,18,252–273,
1910,В. Катетова,Каталог ярчайших звёзд ПГ-1313,Вестник Плоскости,19,304–332,
1912,"А. Н. Квадратов, Ф. И. Секущев",Уточнение расстояния до Туманности Штрих-Б,Вестник Плоскости,21,39–67,
1913,"Л. Биссектрисов, А. Н. Квадратов, Ф. И. Секущев",Приливные хвосты ПГ-0999,Вестник Плоскости,22,171–198,
1914,"В. Катетова, Ф. И. Секущев, Л. Биссектрисов",Об одном случае линзирования в поле Спирали Архимеда-1,Вестник Плоскости,23,389–405,
1915,"А. Н. Квадратов, Л. Биссектрисов",Уточнение расстояния до Малой Кляксы,Вестник Плоскости,24,72–80,
1916,А. Н. Квадратов,Шумы толщиномера,Вестник Плоскости,25,340–362,
1917,Л. Биссектрисов,Фотометрия ядра Малой Кляксы,Вестник Плоскости,26,306–333,
1918,В. Катетова,Устойчивость вращающихся дисков в двух измерениях,Вестник Плоскости,27,131–143,
1919,А. Н. Квадратов,Устойчивость вращающихся дисков в двух измерениях,Вестник Плоскости,28,92–111,
1920,А. Н. Квадратов,Термические деформации главного отрезка,Вестник Плоскости,29,400–422,
1921,И. П. Хордов,Новые ограничения на волны изгиба,Вестник Плоскости,30,196–207,
1922,"Ф. И. Секущев, П. П. Параллелепипедов",Переменные звёзды в окрестности Туманности Штрих,Вестник Плоскости,31,131–157,
1923,"Е. С. Треугольникова, И. П. Хордов",Переменные звёзды в окрестности Туманности Штрих-Б,Вестник Плоскости,32,173–184,
1924,"Ф. И. Секущев, И. П. Хордов",Фотометрия ядра ПГ-0777,Вестник Плоскости,33,128–146,
1925,Ф. И. Секущев,Радиолиния ПГ-0777 по методу «Туго-Ширь»,Вестник Плоскости,34,235–264,
1927,"Ф. И. Секущев, Е. С. Треугольникова, И. П. Хордов",Фотометрия ядра ПГ-0999,Вестник Плоскости,36,93–110,
1930,П. П. Параллелепипедов,О распределении мигалок в Туманности Штрих-Б,Вестник Плоскости,39,262–269,
1930,Ф. И. Секущев,Переменные звёзды в окрестности ПГ-0777,Вестник Плоскости,39,94–117,
1931,Е. С. Треугольникова,Кривая вращения Туманности Штрих-Б,Вестник Плоскости,40,241–251,
1931,П. П. Параллелепипедов,Переменные звёзды в окрестности Спирали Архимеда-1,Вестник Плоскости,40,340–362,
1931,Ф. И. Секущев,О Разбегании туманностей,Вестник Плоскости,40,201–219,H₂ = 180
1933,Е. С. Треугольникова,Спектральные наблюдения Ладьи Треугольниковой,Вестник Плоскости,42,104–134,
1933,"И. П. Хордов, П. П. Параллелепипедов, Ф. И. Секущев",Переменные звёзды в окрестности ПГ-0777,Вестник Плоскости,42,22–43,
1935,"И. П. Хордов, Е. С. Треугольникова",Приливные хвосты Спирали Архимеда-1,Вестник Плоскости,44,144–170,
1935,"П. П. Параллелепипедов, Ф. И. Секущев",Кривая вращения Туманности Штрих,Вестник Плоскости,44,72–82,
1936,"И. П. Хордов, Е. С. Треугольникова",О числе рукавов Спирали Архимеда-7,Вестник Плоскости,45,47–75,
1936,Ф. И. Секущев,Новые ограничения на волны изгиба,Вестник Плоскости,45,105–116,
1938,"А. К. Толщин, Е. С. Треугольникова, И. П. Хордов",Каталог ярчайших звёзд Ладьи Треугольниковой,Вестник Плоскости,47,95–119,
1938,И. П. Хордов,Об одном случае линзирования в поле Спирали Архимеда-7,Вестник Плоскости,47,191–206,
1939,"А. К. Толщин, И. П. Хордов",К вопросу о природе свечения Спирали Архимеда-1,Вестник Плоскости,48,366–379,
1939,"И. П. Хордов, Е. С. Треугольникова",Спектральные наблюдения Туманности Штрих,Вестник Плоскости,48,24–52,
1941,А. К. Толщин,Кривая вращения Большой Кляксы,Вестник Плоскости,50,272–279,
1941,И. П. Хордов,Кривая вращения Ладьи Треугольниковой,Вестник Плоскости,50,94–119,
1943,"Е. С. Треугольникова, А. К. Толщин, И. П. Хордов",Кривая вращения Туманности Штрих-Б,Вестник Плоскости,52,163–169,
1943,"Е. С. Треугольникова, И. П. Хордов",О статистике кольцевых галактик,Вестник Плоскости,52,385–415,
1944,"Е. С. Треугольникова, А. К. Толщин, И. П. Хордов",О распределении мигалок в Большой Кляксы,Вестник Плоскости,53,80–105,
1944,"И. П. Хордов, Е. С. Треугольникова, А. К. Толщин",Переменные звёзды в окрестности Малой Кляксы,Вестник Плоскости,53,50–53,
1945,"И. П. Хордов, А. К. Толщин",К вопросу о природе свечения Малой Кляксы,Вестник Плоскости,54,132–142,
1945,"И. П. Хордов, Е. С. Треугольникова",Каталог ярчайших звёзд ПГ-1313,Вестник Плоскости,54,365–395,
1946,А. К. Толщин,Приливные хвосты ПГ-0777,Вестник Плоскости,55,202–204,
1946,"А. К. Толщин, Е. С. Треугольникова, И. П. Хордов",К вопросу о природе свечения Туманности Штрих,Вестник Плоскости,55,364–382,
1947,И. П. Хордов,О распределении мигалок в Туманности Штрих,Вестник Плоскости,56,112–126,
1947,"И. П. Хордов, Е. С. Треугольникова, А. К. Толщин",Пылевая полоса Млечной Черты,Вестник Плоскости,56,225–232,
