№,дата,площадка,инструмент,температура_пК,погрешность_пК,оператор,примечание
1,1964-06-03,Нормаль,Луч,3.400,0.500,С. Т. Точкин,первая регистрация реликтового гула; принят сначала за шум в кабеле
2,1964-12-02,Нормаль,Луч,2.714,0.500,С. Т. Точкин,
3,1965-08-15,Нормаль,Луч,2.924,0.500,Е. С. Треугольникова,
4,1965-11-26,Нормаль,Луч,2.733,0.500,Н. И. Хордова,
5,1966-10-12,Нормаль,Луч,2.896,0.500,С. Т. Точкин,
6,1966-11-18,Нормаль,Луч,3.076,0.500,Е. С. Треугольникова,
7,1967-01-03,Нормаль,Луч,3.388,0.500,Е. С. Треугольникова,
8,1967-02-12,Нормаль,Луч,2.411,0.500,С. Т. Точкин,
9,1968-02-04,Нормаль,Луч,2.896,0.500,Н. И. Хордова,
10,1968-06-02,Нормаль,Луч,3.100,0.500,Н. И. Хордова,
11,1969-05-28,Нормаль,Луч,2.870,0.500,Н. И. Хордова,
12,1969-07-27,Нормаль,Луч,3.452,0.500,С. Т. Точкин,
13,1970-01-09,Нормаль,Луч,3.208,0.200,С. Т. Точкин,
14,1970-12-18,Нормаль,Луч,2.960,0.200,Н. И. Хордова,
15,1971-04-28,Нормаль,Луч,3.042,0.200,С. Т. Точкин,
16,1971-10-13,Нормаль,Луч,2.862,0.200,Н. И. Хордова,
17,1972-03-03,Нормаль,Луч,2.891,0.200,С. Т. Точкин,
18,1972-03-23,Нормаль,Луч,2.974,0.200,Е. С. Треугольникова,
19,1973-04-06,Нормаль,Луч,3.041,0.200,С. Т. Точкин,
20,1973-12-17,Нормаль,Луч,2.738,0.200,Н. И. Хордова,
21,1974-07-02,Нормаль,Луч,2.834,0.200,Н. И. Хордова,
22,1974-07-19,Нормаль,Луч,3.012,0.200,Н. И. Хордова,
23,1975-02-09,Нормаль,Луч,2.822,0.200,С. Т. Точкин,
24,1975-05-05,Нормаль,Луч,2.918,0.200,С. Т. Точкин,
25,1976-10-24,Нормаль,Луч,3.070,0.200,С. Т. Точкин,
26,1976-12-15,Нормаль,Луч,2.874,0.200,С. Т. Точкин,
27,1977-02-12,Нормаль,Луч,3.011,0.200,С. Т. Точкин,
28,1977-02-15,Нормаль,Луч,2.766,0.200,Н. И. Хордова,
29,1978-03-02,Нормаль,Луч,2.820,0.200,Е. С. Треугольникова,
30,1978-03-21,Нормаль,Луч,3.073,0.200,Е. С. Треугольникова,
31,1978-10-18,Нормаль,Луч,2.876,0.200,С. Т. Точкин,
32,1978-10-21,Нормаль,Луч,2.878,0.200,Н. И. Хордова,
33,1978-10-24,Нормаль,Луч,2.776,0.200,Е. С. Треугольникова,
34,1979-02-05,Нормаль,Луч,2.762,0.200,Е. С. Треугольникова,
35,1979-02-19,Нормаль,Луч,3.018,0.200,С. Т. Точкин,калибровка по эталонной нагрузке
36,1979-04-28,Нормаль,Луч,2.748,0.200,Н. И. Хордова,
37,1979-08-11,Нормаль,Луч,2.921,0.200,Е. С. Треугольникова,
38,1979-10-19,Нормаль,Луч,3.006,0.200,С. Т. Точкин,
39,1980-01-02,Нормаль,Луч,2.812,0.200,Л. А. Пентагонов,
40,1980-01-06,Нормаль,Луч,2.850,0.200,Л. А. Пентагонов,повтор после замены усилителя
41,1980-02-09,Нормаль,Луч,3.167,0.200,С. Т. Точкин,
42,1980-06-21,Нормаль,Луч,2.877,0.200,Б. Г. Эллипсов,
43,1980-10-25,Нормаль,Луч,2.775,0.200,С. Т. Точкин,
44,1981-01-05,Нормаль,Луч,3.039,0.200,Л. А. Пентагонов,
45,1981-04-15,Нормаль,Луч,3.097,0.200,С. Т. Точкин,
46,1981-05-18,Нормаль,Луч,2.878,0.200,Л. А. Пентагонов,
47,1981-09-03,Нормаль,Луч,2.663,0.200,Б. Г. Эллипсов,
48,1981-10-08,Нормаль,Луч,2.811,0.200,Б. Г. Эллипсов,
49,1982-01-04,Нормаль,Луч,3.040,0.200,Б. Г. Эллипсов,
50,1982-01-24,Нормаль,Луч,2.884,0.200,Б. Г. Эллипсов,
51,1982-07-06,Нормаль,Луч,2.964,0.200,С. Т. Точкин,
52,1982-09-05,Нормаль,Луч,2.951,0.200,Б. Г. Эллипсов,
53,1982-12-07,Нормаль,Луч,3.047,0.200,С. Т. Точкин,
54,1983-02-07,Нормаль,Луч,2.645,0.200,С. Т. Точкин,калибровка по эталонной нагрузке
55,1983-03-14,Нормаль,Луч,2.917,0.200,Б. Г. Эллипсов,
56,1983-07-27,Нормаль,Луч,3.013,0.200,Б. Г. Эллипсов,
57,1983-09-06,Нормаль,Луч,2.850,0.200,С. Т. Точкин,
58,1983-09-18,Нормаль,Луч,2.933,0.200,Л. А. Пентагонов,
